ds,y,yhat,yhat_lower,yhat_upper
2014-03-29,138,119.21583882128482,36.69664057457998,204.87932159525965
2014-03-30,64,71.4160918858791,-14.489201059584625,153.52535362509468
2014-03-31,77,41.04611226931929,-44.32398846537595,121.10253233717063
2014-04-01,62,36.73824424100771,-44.19135301386981,117.43897177025195
2014-04-02,119,59.43974279722197,-25.319565041129845,139.68424321143962
2014-04-03,89,42.954111104789746,-47.430184599486964,126.65312756901325
2014-04-04,133,54.385732638814375,-28.453519438213533,138.1164190901447
2014-04-05,180,106.0185655183267,18.56549300834099,186.0635730626943
2014-04-06,121,61.29828823692519,-24.397679789730763,146.9560110286647
2014-04-07,72,34.25062332665056,-49.79071276787115,119.05533482224082
2014-04-08,91,33.43090870314609,-50.420950967715896,113.94462345605199
2014-04-09,53,59.70571366586409,-21.83824376135451,148.32379705838252
